133	Train	10.7604	25928	1377	19444	13386
133	Valid	8.4599	2990	50	2277	1364
134	Train	10.7600	25960	1345	19342	13488
134	Valid	8.4592	2988	52	2296	1345
135	Train	10.7604	26045	1260	19016	13814
136	Train	10.7618	25977	1328	19452	13378
137	Train	10.7608	25763	1542	20274	12556
138	Train	10.7598	25925	1380	19506	13324
139	Train	10.7598	26043	1262	19163	13667
140	Train	10.7601	26025	1280	19525	13305
140	Valid	8.4590	2987	53	2318	1323
141	Train	10.7597	25865	1440	19836	12994
141	Valid	8.4583	2987	53	2299	1342
142	Train	10.7580	25974	1331	19657	13173
142	Valid	8.4576	2992	48	2313	1328
143	Train	10.7580	25896	1409	20006	12824
143	Valid	8.4568	2988	52	2291	1350
144	Train	10.7585	25959	1346	19672	13158
144	Valid	8.4564	2985	55	2337	1304
145	Train	10.7580	26063	1242	19268	13562
146	Train	10.7592	26103	1202	19167	13663
147	Train	10.7574	25949	1356	19562	13268
147	Valid	8.4560	2992	48	2289	1352
148	Train	10.7578	26045	1260	19538	13292
148	Valid	8.4555	2982	58	2331	1310
149	Train	10.7574	26077	1228	19296	13534
150	Train	10.7567	25869	1436	19909	12921
150	Valid	8.4551	2991	49	2294	1347
151	Train	10.7565	26012	1293	19398	13432
151	Valid	8.4545	2976	64	2357	1284
152	Train	10.7577	26139	1166	18793	14037
153	Train	10.7594	25773	1532	20255	12575
154	Train	10.7568	25913	1392	19951	12879
155	Train	10.7574	26057	1248	19335	13495
156	Train	10.7563	26061	1244	19290	13540
156	Valid	8.4544	2989	51	2298	1343
157	Train	10.7562	25983	1322	19581	13249
157	Valid	8.4543	2992	48	2306	1335
158	Train	10.7552	26041	1264	19485	13345
158	Valid	8.4528	2989	51	2348	1293
159	Train	10.7545	26029	1276	19635	13195
159	Valid	8.4525	2991	49	2342	1299
160	Train	10.7548	26001	1304	19703	13127
161	Train	10.7540	26169	1136	19259	13571
161	Valid	8.4521	2988	52	2349	1292
162	Train	10.7549	26113	1192	18946	13884
163	Train	10.7564	25929	1376	19968	12862
164	Train	10.7557	26081	1224	19247	13583
165	Train	10.7541	25941	1364	19593	13237
165	Valid	8.4519	2987	53	2336	1305
166	Train	10.7540	25976	1329	19549	13281
166	Valid	8.4510	2986	54	2353	1288
167	Train	10.7549	25779	1526	20441	12389
168	Train	10.7548	25923	1382	19859	12971
169	Train	10.7531	25986	1319	19733	13097
169	Valid	8.4501	2981	59	2357	1284
170	Train	10.7534	25877	1428	20036	12794
170	Valid	8.4501	2992	48	2313	1328
171	Train	10.7530	25986	1319	19766	13064
171	Valid	8.4495	2981	59	2345	1296
172	Train	10.7529	25940	1365	19890	12940
173	Train	10.7540	25749	1556	20587	12243
174	Train	10.7545	25835	1470	20196	12634
175	Train	10.7555	25820	1485	20241	12589
176	Train	10.7533	25820	1485	20316	12514
177	Train	10.7523	25987	1318	19885	12945
177	Valid	8.4491	2981	59	2326	1315
178	Train	10.7514	25989	1316	19702	13128
178	Valid	8.4480	2979	61	2337	1304
179	Train	10.7522	25894	1411	20233	12597
180	Train	10.7524	26047	1258	19600	13230
181	Train	10.7517	25994	1311	19658	13172
181	Valid	8.4478	2994	46	2332	1309
182	Train	10.7523	26092	1213	19612	13218
183	Train	10.7506	25857	1448	20164	12666
183	Valid	8.4473	2991	49	2305	1336
184	Train	10.7506	26034	1271	19616	13214
184	Valid	8.4466	2978	62	2368	1273
185	Train	10.7504	25957	1348	20055	12775
185	Valid	8.4465	2980	60	2374	1267
186	Train	10.7519	26013	1292	19592	13238
187	Train	10.7519	25987	1318	19936	12894
188	Train	10.7507	25998	1307	19749	13081
188	Valid	8.4464	2975	65	2363	1278
189	Train	10.7504	25890	1415	20062	12768
189	Valid	8.4454	2980	60	2375	1266
190	Train	10.7490	25988	1317	19795	13035
191	Train	10.7505	25773	1532	20418	12412
192	Train	10.7573	25713	1592	20574	12256
193	Train	10.7539	25989	1316	19765	13065
194	Train	10.7500	26039	1266	19715	13115
195	Train	10.7489	25986	1319	20046	12784
195	Valid	8.4447	2973	67	2378	1263
196	Train	10.7483	26037	1268	19733	13097
196	Valid	8.4444	2980	60	2373	1268
197	Train	10.7482	26043	1262	19798	13032
197	Valid	8.4440	2981	59	2401	1240
198	Train	10.7485	26014	1291	19877	12953
198	Valid	8.4440	2988	52	2338	1303
199	Train	10.7490	26065	1240	19456	13374
199	Valid	8.4439	2989	51	2341	1300
200	Train	10.7495	25800	1505	20481	12349
